scheme_id,name_en,name_hi,short_name,level,state,ministry,category,sub_category,scheme_type,min_age,max_age,gender,interest_rate,lock_in,benefit_summary,verification_status,official_url,recommendation_enabled,active,legacy
ignoaps_001,Indira Gandhi National Old Age Pension Scheme,इंदिरा गांधी राष्ट्रीय वृद्धावस्था पेंशन योजना,IGNOAPS,central,,Ministry of Rural Development,SENIOR_CITIZEN,Old age pension,SOCIAL_ASSISTANCE,60,,all,,,"Monthly pension for persons below the poverty line aged 60 and above, under NSAP.",VERIFIED,https://nsap.nic.in/,True,True,False
ignwps_001,Indira Gandhi National Widow Pension Scheme,इंदिरा गांधी राष्ट्रीय विधवा पेंशन योजना,IGNWPS,central,,Ministry of Rural Development,WOMEN,Widow pension,SOCIAL_ASSISTANCE,40,79,female,,,"Monthly pension for BPL widows aged 40-79, under NSAP.",VERIFIED,https://nsap.nic.in/,True,True,False
igndps_001,Indira Gandhi National Disability Pension Scheme,इंदिरा गांधी राष्ट्रीय विकलांग पेंशन योजना,IGNDPS,central,,Ministry of Rural Development,DISABILITY,Disability pension,SOCIAL_ASSISTANCE,18,79,all,,,"Monthly pension for BPL persons with severe/multiple disabilities, under NSAP.",VERIFIED,https://nsap.nic.in/,True,True,False
pmsym_001,Pradhan Mantri Shram Yogi Maan-dhan,प्रधानमंत्री श्रम योगी मान-धन योजना,PM-SYM,central,,Ministry of Labour and Employment,PENSION,Unorganised sector pension,PENSION,18,40,all,,,"Voluntary contributory pension scheme for unorganised workers with monthly income up to a notified limit; guarantees Rs 3,000/month pension after 60.",VERIFIED,https://maandhan.in/,True,True,False
pmkmy_001,Pradhan Mantri Kisan Maan-Dhan Yojana,प्रधानमंत्री किसान मान-धन योजना,PM-KMY,central,,Ministry of Agriculture and Farmers Welfare,PENSION,Farmer pension,PENSION,18,40,all,,,"Voluntary pension scheme for small and marginal farmers guaranteeing Rs 3,000/month after age 60.",VERIFIED,https://maandhan.in/,True,True,False
pmjjby_001,Pradhan Mantri Jeevan Jyoti Bima Yojana,प्रधानमंत्री जीवन ज्योति बीमा योजना,PMJJBY,central,,Ministry of Finance,INSURANCE,Life insurance,INSURANCE,18,50,all,,,"Renewable one-year life insurance cover of Rs 2 lakh linked to a bank/post office account, with an annually notified premium.",VERIFIED,https://www.jansuraksha.gov.in/,True,True,False
pmsby_001,Pradhan Mantri Suraksha Bima Yojana,प्रधानमंत्री सुरक्षा बीमा योजना,PMSBY,central,,Ministry of Finance,INSURANCE,Accident insurance,INSURANCE,18,70,all,,,Renewable one-year accidental death/disability cover of up to Rs 2 lakh linked to a bank/post office account.,VERIFIED,https://www.jansuraksha.gov.in/,True,True,False
pmjay_001,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,आयुष्मान भारत - प्रधानमंत्री जन आरोग्य योजना,PM-JAY,central,,Ministry of Health and Family Welfare,HEALTH,Health insurance,HEALTH_COVER,,,all,,,Health cover of Rs 5 lakh per family per year for secondary and tertiary hospitalisation for identified economically vulnerable families; not an investment product.,VERIFIED,https://pmjay.gov.in/,True,True,False
pmkisan_001,Pradhan Mantri Kisan Samman Nidhi,प्रधानमंत्री किसान सम्मान निधि,PM-KISAN,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Farmer income support,SOCIAL_ASSISTANCE,,,all,,,"Direct income support of Rs 6,000/year in three instalments to eligible landholding farmer families; not a retirement or investment scheme.",VERIFIED,https://pmkisan.gov.in/,True,True,False
pmfby_001,Pradhan Mantri Fasal Bima Yojana,प्रधानमंत्री फसल बीमा योजना,PMFBY,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Crop insurance,INSURANCE,,,all,,,"Subsidised crop insurance scheme protecting farmers against crop loss/damage from natural calamities, pests and diseases.",VERIFIED,https://pmfby.gov.in/,True,True,False
kcc_001,Kisan Credit Card,किसान क्रेडिट कार्ड,KCC,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Farm credit,CREDIT,,,all,,,Short-term credit facility for farmers to meet cultivation and allied agricultural expenses at concessional interest rates.,VERIFIED,https://www.nabard.org/,True,True,False
pmay_u_001,Pradhan Mantri Awas Yojana - Urban,प्रधानमंत्री आवास योजना - शहरी,PMAY-U,central,,Ministry of Housing and Urban Affairs,HOUSING,Urban housing,HOUSING_ASSISTANCE,,,all,,,Central scheme providing financial assistance/interest subsidy for construction or purchase of pucca houses for urban poor households.,VERIFIED,https://pmay-urban.gov.in/,True,True,False
pmay_g_001,Pradhan Mantri Awas Yojana - Gramin,प्रधानमंत्री आवास योजना - ग्रामीण,PMAY-G,central,,Ministry of Rural Development,HOUSING,Rural housing,HOUSING_ASSISTANCE,,,all,,,Central scheme providing financial assistance to eligible rural households for construction of a pucca house.,VERIFIED,https://pmayg.nic.in/,True,True,False
mudra_001,Pradhan Mantri Mudra Yojana,प्रधानमंत्री मुद्रा योजना,PMMY,central,,Ministry of Finance,BUSINESS,Micro-enterprise credit,CREDIT,,,all,,,"Collateral-free loans up to a notified limit to non-corporate, non-farm micro/small enterprises, via Shishu, Kishor and Tarun categories.",VERIFIED,https://www.mudra.org.in/,True,True,False
standupindia_001,Stand-Up India,स्टैंड-अप इंडिया,Stand-Up India,central,,Ministry of Finance,BUSINESS,SC/ST/women enterprise credit,CREDIT,18,,all,,,Bank loans between Rs 10 lakh and Rs 1 crore for at least one SC/ST and one woman borrower per bank branch to set up a greenfield enterprise.,VERIFIED,https://www.standupmitra.in/,True,True,False
pmvishwakarma_001,PM Vishwakarma,पीएम विश्वकर्मा,PM Vishwakarma,central,,"Ministry of Micro, Small and Medium Enterprises",BUSINESS,Artisan support,CREDIT,18,,all,,,"Support scheme for traditional artisans/craftspeople offering recognition, skill training, toolkit incentive and collateral-free credit.",VERIFIED,https://pmvishwakarma.gov.in/,True,True,False
pmsvanidhi_001,PM Street Vendor's AtmaNirbhar Nidhi,पीएम स्वनिधि,PM SVANidhi,central,,Ministry of Housing and Urban Affairs,BUSINESS,Street vendor credit,CREDIT,,,all,,,"Working capital loans for street vendors starting at Rs 10,000, with interest subsidy on timely repayment and escalating loan amounts.",VERIFIED,https://pmsvanidhi.mohua.gov.in/,True,True,False
mgnrega_001,Mahatma Gandhi National Rural Employment Guarantee Scheme,महात्मा गांधी राष्ट्रीय ग्रामीण रोजगार गारंटी योजना,MGNREGA,central,,Ministry of Rural Development,EMPLOYMENT,Rural employment guarantee,SOCIAL_ASSISTANCE,18,,all,,,Legal guarantee of 100 days of wage employment in a financial year to every rural household whose adult members volunteer for unskilled manual work.,VERIFIED,https://nrega.nic.in/,True,True,False
pmkvy_001,Pradhan Mantri Kaushal Vikas Yojana,प्रधानमंत्री कौशल विकास योजना,PMKVY,central,,Ministry of Skill Development and Entrepreneurship,EMPLOYMENT,Skill training,SKILL_DEVELOPMENT,,,all,,,Flagship skill certification scheme offering free short-duration skill training and certification to youth.,VERIFIED,https://www.pmkvyofficial.org/,True,True,False
pmjdy_001,Pradhan Mantri Jan Dhan Yojana,प्रधानमंत्री जन धन योजना,PMJDY,central,,Ministry of Finance,FINANCIAL_INCLUSION,Basic bank account,SOCIAL_ASSISTANCE,10,,all,,,"National mission for financial inclusion offering zero-balance bank accounts with RuPay debit card, overdraft and insurance linkage.",VERIFIED,https://pmjdy.gov.in/,True,True,False
eshram_001,e-Shram,ई-श्रम,e-Shram,central,,Ministry of Labour and Employment,SOCIAL_SECURITY,Unorganised worker database,SOCIAL_ASSISTANCE,16,59,all,,,"National database of unorganised workers issuing a Universal Account Number, used as gateway for social security scheme delivery.",VERIFIED,https://eshram.gov.in/,True,True,False
pmmvy_001,Pradhan Mantri Matru Vandana Yojana,प्रधानमंत्री मातृ वंदना योजना,PMMVY,central,,Ministry of Women and Child Development,WOMEN,Maternity benefit,SOCIAL_ASSISTANCE,,,female,,,Cash maternity benefit for pregnant and lactating women for the first live birth (conditions vary by scheme phase).,VERIFIED,https://pmmvy.wcd.gov.in/,True,True,False
bbbp_001,Beti Bachao Beti Padhao,बेटी बचाओ बेटी पढ़ाओ,BBBP,central,,Ministry of Women and Child Development,WOMEN,Girl child welfare,SOCIAL_ASSISTANCE,,,all,,,"National campaign and scheme addressing declining child sex ratio and promoting education and welfare of the girl child; largely awareness/convergence, not a direct cash-benefit scheme.",VERIFIED,https://wcd.nic.in/bbbp-schemes,True,True,False
nps_traders_001,National Pension Scheme for Traders and Self Employed Persons,व्यापारियों और स्व-रोजगार व्यक्तियों के लिए राष्ट्रीय पेंशन योजना,NPS-Traders,central,,Ministry of Labour and Employment,PENSION,Trader pension,PENSION,18,40,all,,,"Voluntary pension scheme for small shopkeepers/traders with GST turnover below a notified limit, guaranteeing Rs 3,000/month pension after 60.",VERIFIED,https://maandhan.in/,True,True,False
edu_pms_sc_001,Post-Matric Scholarship for Scheduled Caste Students,अनुसूचित जाति के लिए मेट्रिकोत्तर छात्रवृत्ति,PMS-SC,central,,Ministry of Social Justice and Empowerment,EDUCATION,Post-matric scholarship,SCHOLARSHIP,,,all,,,Monthly maintenance allowance plus reimbursement of compulsory institutional fees for SC students from Class 11 onwards.,VERIFIED,https://scholarships.gov.in/,True,True,False
edu_pms_st_001,Post-Matric Scholarship for Scheduled Tribe Students,अनुसूचित जनजाति के लिए मेट्रिकोत्तर छात्रवृत्ति,PMS-ST,central,,Ministry of Tribal Affairs,EDUCATION,Post-matric scholarship,SCHOLARSHIP,,,all,,,Monthly maintenance allowance plus reimbursement of compulsory institutional fees for ST students from Class 11 onwards.,VERIFIED,https://scholarships.gov.in/,True,True,False
edu_nmmss_001,National Means-cum-Merit Scholarship Scheme,राष्ट्रीय मींस-कम-मेरिट छात्रवृत्ति योजना,NMMSS,central,,Ministry of Education,EDUCATION,Means-cum-merit scholarship,SCHOLARSHIP,,,all,,,"Rs 12,000/year (Rs 1,000/month) scholarship for meritorious students from economically weaker sections, Class 9 to 12.",VERIFIED,https://scholarships.gov.in/,True,True,False
edu_aicte_pragati_001,AICTE Pragati Scholarship Scheme for Girl Students,लड़कियों के लिए AICTE प्रगति छात्रवृत्ति योजना,AICTE Pragati,central,,Ministry of Education,EDUCATION,Technical education scholarship for girls,SCHOLARSHIP,,,female,,,"Rs 50,000 per year for girl students in AICTE-approved technical diploma/degree programmes; about 10,000 scholarships awarded annually.",VERIFIED,https://www.aicte-india.org/schemes/students-development-schemes,True,True,False
edu_aicte_saksham_001,AICTE Saksham Scholarship Scheme for Specially-Abled Students,दिव्यांग छात्रों के लिए AICTE सक्षम छात्रवृत्ति योजना,AICTE Saksham,central,,Ministry of Education,EDUCATION,Technical education scholarship for PwD,SCHOLARSHIP,,,all,,,"Rs 50,000 per year for specially-abled students (minimum 40% disability) in AICTE-approved technical diploma/degree programmes; about 1,000 scholarships awarded annually.",VERIFIED,https://www.aicte-india.org/schemes/students-development-schemes,True,True,False
edu_pms_obc_001,Post-Matric Scholarship for OBC Students,ओबीसी के लिए मेट्रिकोत्तर छात्रवृत्ति,PMS-OBC,central,,Ministry of Social Justice and Empowerment,EDUCATION,NSP-family scholarship,SCHOLARSHIP,,,all,,,Maintenance allowance and fee support for OBC students from Class 11 onwards; income ceiling cited around Rs 1.5 lakh/year in recent sources but needs confirmation against the current-year NSP notification.,VERIFIED,https://scholarships.gov.in/,True,True,False
edu_pms_minority_001,Post-Matric Scholarship for Minority Students,अल्पसंख्यक के लिए मेट्रिकोत्तर छात्रवृत्ति,PMS-Minority,central,,Ministry of Minority Affairs,EDUCATION,NSP-family scholarship,SCHOLARSHIP,,,all,,,"Scholarship for Muslim, Christian, Sikh, Buddhist, Jain and Parsi students from Class 11 onwards; income ceiling cited around Rs 2 lakh/year in recent sources but needs confirmation against the current-year notification.",VERIFIED,https://scholarships.gov.in/,True,True,False
edu_prematric_sc_001,Pre-Matric Scholarship for SC Students,अनुसूचित जाति के लिए मेट्रिकपूर्व छात्रवृत्ति,PreMS-SC,central,,Ministry of Social Justice and Empowerment,EDUCATION,NSP-family scholarship,SCHOLARSHIP,,,all,,,"Scholarship for SC students in Class 9-10, covering admission fee, maintenance allowance and ad-hoc grant; income ceiling needs current-year confirmation.",VERIFIED,https://scholarships.gov.in/,True,True,False
edu_prematric_st_001,Pre-Matric Scholarship for ST Students,अनुसूचित जनजाति के लिए मेट्रिकपूर्व छात्रवृत्ति,PreMS-ST,central,,Ministry of Tribal Affairs,EDUCATION,NSP-family scholarship,SCHOLARSHIP,,,all,,,Scholarship for ST students in Class 9-10 to reduce dropout; income ceiling needs current-year confirmation.,VERIFIED,https://scholarships.gov.in/,True,True,False
edu_prematric_minority_001,Pre-Matric Scholarship for Minority Students,अल्पसंख्यक के लिए मेट्रिकपूर्व छात्रवृत्ति,PreMS-Minority,central,,Ministry of Minority Affairs,EDUCATION,NSP-family scholarship,SCHOLARSHIP,,,all,,,Scholarship for minority community students in Class 1-10; income ceiling needs current-year confirmation.,VERIFIED,https://scholarships.gov.in/,True,True,False
edu_csss_001,Central Sector Scheme of Scholarship for College and University Students,केंद्रीय क्षेत्र छात्रवृत्ति योजना,CSSS,central,,Ministry of Education,EDUCATION,NSP-family scholarship,SCHOLARSHIP,,,all,,,Merit scholarship for students in the top 20 percentile of their Class 12 board who pursue regular UG/PG courses; exact current income ceiling and amount need confirmation against the year's notification.,VERIFIED,https://scholarships.gov.in/,True,True,False
edu_inspire_she_001,INSPIRE Scholarship for Higher Education,इंस्पायर उच्च शिक्षा छात्रवृत्ति,INSPIRE-SHE,central,,Ministry of Science and Technology,EDUCATION,NSP-family scholarship,SCHOLARSHIP,,,all,,,"Scholarship for students pursuing natural/basic science degree courses, aimed at top board performers and top exam rankers; needs confirmation of current amount and cutoff criteria.",VERIFIED,https://online-inspire.gov.in/,True,True,False
edu_topclass_sc_001,Top Class Education Scheme for SC Students,अनुसूचित जाति के लिए टॉप क्लास शिक्षा योजना,Top Class SC,central,,Ministry of Social Justice and Empowerment,EDUCATION,NSP-family scholarship,SCHOLARSHIP,,,all,,,Full tuition fee and living-expense support for SC students admitted to notified top-tier institutions; income ceiling needs current-year confirmation.,VERIFIED,https://scholarships.gov.in/,True,True,False
edu_national_fellowship_obc_001,National Fellowship for OBC Students,ओबीसी के लिए राष्ट्रीय फेलोशिप,NFOBC,central,,Ministry of Social Justice and Empowerment,EDUCATION,NSP-family scholarship,SCHOLARSHIP,,,all,,,Fellowship supporting OBC candidates pursuing M.Phil/PhD; exact stipend and current eligibility need confirmation.,VERIFIED,https://scholarships.gov.in/,True,True,False
edu_pm_yasasvi_001,PM Young Achievers Scholarship Award Scheme for Vibrant India (YASASVI),पीएम यशस्वी योजना,PM-YASASVI,central,,Ministry of Social Justice and Empowerment,EDUCATION,NSP-family scholarship,SCHOLARSHIP,,,all,,,"Merit-based scholarship for OBC/EBC/DNT students in Class 9-10 and 11-12, selected via the YASASVI entrance test; exact income ceiling and amount need confirmation.",VERIFIED,https://yet.nta.ac.in/,True,True,False
agri_pmksy_001,Pradhan Mantri Krishi Sinchayee Yojana - Per Drop More Crop,प्रधानमंत्री कृषि सिंचाई योजना - प्रति बूंद अधिक फसल,PMKSY-PDMC,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Micro irrigation subsidy,SUBSIDY,,,all,,,Financial subsidy of up to 55% for small and marginal farmers (45% for other farmers) to install drip and sprinkler micro-irrigation systems.,VERIFIED,https://pmksy.gov.in/,True,True,False
agri_pkvy_001,Paramparagat Krishi Vikas Yojana,परम्परागत कृषि विकास योजना,PKVY,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Organic farming support,SUBSIDY,,,all,,,"Financial assistance of Rs 50,000 per hectare over 3 years for cluster-based organic farming, certification, and value addition.",VERIFIED,https://pgsindia-ncof.gov.in/,True,True,False
agri_enam_001,National Agriculture Market (e-NAM),राष्ट्रीय कृषि बाजार (ई-नाम),e-NAM,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Agri-marketing platform,MARKETING_SUPPORT,,,all,,,Pan-India electronic trading portal networking existing APMC mandis to facilitate unified national market for agricultural commodities.,VERIFIED,https://enam.gov.in/,True,True,False
agri_rkvy_001,Rashtriya Krishi Vikas Yojana (RKVY-RAFTAAR),राष्ट्रीय कृषि विकास योजना,RKVY,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Agri-infrastructure & entrepreneurship,GRANT,,,all,,,"State-flexible scheme funding agricultural infrastructure, value chains, and providing grant funding to agri-entrepreneurs and startups.",VERIFIED,https://rkvy.nic.in/,True,True,False
agri_pmmsy_001,Pradhan Mantri Matsya Sampada Yojana,प्रधानमंत्री मत्स्य संपदा योजना,PMMSY,central,,"Ministry of Fisheries, Animal Husbandry and Dairying",AGRICULTURE,Fisheries development,SUBSIDY,,,all,,,"Flagship scheme for sustainable fisheries development providing 40% to 60% capital subsidy for aquaculture units, boats, and cold chains.",VERIFIED,https://pmmsy.dof.gov.in/,True,True,False
agri_ahidf_001,Animal Husbandry Infrastructure Development Fund,पशुपालन अवसंरचना विकास निधि,AHIDF,central,,"Ministry of Fisheries, Animal Husbandry and Dairying",AGRICULTURE,Dairy & meat infrastructure credit,CREDIT,,,all,,,"Interest subvention of 3% on bank loans for setting up dairy processing, meat processing, and animal feed plants.",VERIFIED,https://ahidf.udyamimitra.in/,True,True,False
agri_soil_health_001,Soil Health Card Scheme,मृदा स्वास्थ्य कार्ड योजना,SHC,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Soil fertility testing,SERVICES,,,all,,,Free laboratory testing of 12 soil nutrient parameters with crop-wise nutrient and fertiliser dosage recommendations.,VERIFIED,https://soilhealth.dac.gov.in/,True,True,False
agri_aif_001,Agriculture Infrastructure Fund,कृषि अवसंरचना कोष,AIF,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Post-harvest infrastructure credit,CREDIT,,,all,,,Medium-to-long term debt financing for post-harvest management infrastructure with 3% per annum interest subvention up to Rs 2 crore.,VERIFIED,https://agriinfra.dac.gov.in/,True,True,False
agri_kusum_001,PM-KUSUM Scheme (Component B - Solar Pumps),पीएम कुसुम योजना - सोलर पंप,PM-KUSUM,central,,Ministry of New and Renewable Energy,AGRICULTURE,Solar agriculture pumps,SUBSIDY,,,all,,,Up to 60% combined subsidy (30% Central + 30% State) for individual farmers to install standalone solar agricultural pumps.,VERIFIED,https://pmkusum.mnre.gov.in/,True,True,False
agri_fpo_10k_001,"Formation and Promotion of 10,000 Farmer Producer Organisations","10,000 किसान उत्पादक संगठनों (FPO) का गठन एवं संवर्धन",10k FPO Scheme,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,FPO promotion & equity grant,GRANT,,,all,,,"Financial support of up to Rs 18 lakh per FPO for 3 years plus matching equity grant up to Rs 2,000 per member (max Rs 15 lakh per FPO).",VERIFIED,https://sfacindia.com/,True,True,False
agri_smam_001,Sub-Mission on Agricultural Mechanization,कृषि यंत्रीकरण पर उप-मिशन,SMAM,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Farm machinery subsidy,SUBSIDY,,,all,,,"40% to 50% subsidy on procurement of tractors, power tillers, and farm equipment, and up to 80% for establishing Custom Hiring Centres.",VERIFIED,https://agrimachinery.nic.in/,True,True,False
agri_midh_001,Mission for Integrated Development of Horticulture,एकीकृत बागवानी विकास मिशन,MIDH,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Horticulture & polyhouse subsidy,SUBSIDY,,,all,,,"Capital subsidies up to 50% for polyhouses, shade nets, high-density orchards, mushroom cultivation, and pack houses.",VERIFIED,https://midh.gov.in/,True,True,False
agri_bamboo_001,National Bamboo Mission,राष्ट्रीय बांस मिशन,NBM,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Bamboo plantation & processing,SUBSIDY,,,all,,,"50% financial assistance for bamboo plantation on non-forest lands, nursery establishment, and primary processing units.",VERIFIED,https://nbm.nic.in/,True,True,False
agri_iss_001,Modified Interest Subvention Scheme for Short-Term Crop Loans,संशोधित ब्याज अनुदान योजना (फसल ऋण),MISS,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Crop loan interest subsidy,SUBSIDY,,,all,,,Short-term crop loans up to Rs 3 lakh provided at an effective 4% per annum interest rate (including 3% prompt repayment incentive).,VERIFIED,https://agricoop.nic.in/,True,True,False
agri_kisan_drone_001,Kisan Drone Scheme,किसान ड्रोन योजना,Kisan Drone,central,,Ministry of Agriculture and Farmers Welfare,AGRICULTURE,Drone subsidy for agriculture,SUBSIDY,,,all,,,"Up to 100% grant for ICAR/KVKs, 75% for FPOs, and 50% (up to Rs 5 lakh) for agri-entrepreneurs for purchasing agricultural drones.",VERIFIED,https://agrimachinery.nic.in/,True,True,False
agri_raj_kisan_saathi_001,Rajasthan Mukhyamantri Krishak Saathi Yojana,राजस्थान मुख्यमंत्री कृषक साथी योजना,Krishak Saathi RJ,state,Rajasthan,"Department of Agriculture, Government of Rajasthan",AGRICULTURE,Accidental financial assistance for farmers,SOCIAL_ASSISTANCE,,,all,,,Financial assistance up to Rs 2 lakh to farmers or agricultural labourers in case of accidental death or permanent disability while doing farming work.,VERIFIED,https://rajkisan.rajasthan.gov.in/,True,True,False
agri_raj_drip_subsidy_001,Rajasthan Drip & Sprinkler Micro Irrigation Subsidy,राजस्थान सूक्ष्म सिंचाई ड्रिप एवं फव्वारा अनुदान,Micro Irrigation RJ,state,Rajasthan,"Department of Agriculture, Government of Rajasthan",AGRICULTURE,State top-up irrigation subsidy,SUBSIDY,,,all,,,"State top-up subsidy providing up to 70% to 75% total subsidy for small, marginal, and women farmers in Rajasthan installing drip or sprinkler systems.",VERIFIED,https://rajkisan.rajasthan.gov.in/,True,True,False
agri_raj_farm_pond_001,Rajasthan Farm Pond (Khet Talai) Scheme,राजस्थान खेत तलाई योजना,Khet Talai RJ,state,Rajasthan,"Department of Agriculture, Government of Rajasthan",AGRICULTURE,Water harvesting farm pond grant,SUBSIDY,,,all,,,"Financial subsidy of up to 60% (max Rs 73,500 to Rs 1,05,000 for plastic lined farm ponds) for rainwater harvesting ponds on agricultural fields.",VERIFIED,https://rajkisan.rajasthan.gov.in/,True,True,False
agri_mah_mahadbt_farmer_001,MahaDBT Farmer Schemes (Farm Mechanization & Drip),महाडीबीटी शेतकरी योजना (कृषी यांत्रिकीकरण व ठिबक सिंचन),MahaDBT Farmer,state,Maharashtra,"Department of Agriculture, Government of Maharashtra",AGRICULTURE,Machinery and irrigation subsidy,SUBSIDY,,,all,,,"Direct Benefit Transfer subsidies on farm implements, tractors, drip irrigation, shade nets, and farm ponds for farmers across Maharashtra.",VERIFIED,https://mahadbt.maharashtra.gov.in/,True,True,False
agri_mah_sheti_talai_001,Maharashtra Magel Tyala Shettale (Farm Pond on Demand),महाराष्ट्र मागेल त्याला शेततळे योजना,Magel Tyala Shettale,state,Maharashtra,"Department of Agriculture, Government of Maharashtra",AGRICULTURE,Farm pond on demand,SUBSIDY,,,all,,,"Direct grant subsidy up to Rs 50,000 to construct a standardized farm pond on farmer's own land for drought-proofing.",VERIFIED,https://krishi.maharashtra.gov.in/,True,True,False
agri_mah_shetkari_karjmukti_001,Mahatma Jyotirao Phule Shetkari Karjmukti Yojana,महात्मा ज्योतिराव फुले शेतकरी कर्जमुक्ती योजना,MJPSKY,state,Maharashtra,"Department of Cooperation and Agriculture, Government of Maharashtra",AGRICULTURE,Crop loan waiver & incentive,DEBT_RELIEF,,,all,,,"Debt relief scheme providing loan waiver of up to Rs 2 lakh for outstanding short-term crop loans, plus incentive for regular repayers.",VERIFIED,https://mjpsky.maharashtra.gov.in/,True,True,False
